PLAYER,TEAM,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,Player Efficiency Rating (PER),VA,EWA
Jason Smith,WSH,52,13.4,0.575,6.3,14.6,15.7,8.4,18.9,13.7,12.66,12,0.4
Sean Kilpatrick,BKN,54,26.1,0.548,13.8,13.1,22.5,1.3,15.1,8.3,12.66,45.4,1.5
Joe Ingles,UTAH,56,21.8,0.617,26.9,12.8,13.8,1.1,13.3,7.4,12.62,38.7,1.3
Aaron Gordon,ORL,55,27.5,0.503,13.8,7.7,18.7,5.1,13.3,9.1,12.62,25.4,0.8
Brandon Knight,PHX,53,21.1,0.501,15.8,11,24.7,2.4,9.5,5.8,12.59,26.5,0.9
E'Twaun Moore,NO,50,24.8,0.543,18.1,7.8,17.1,2.2,7.2,4.7,12.51,37.2,1.2
Frank Kaminsky III,CHA,53,24.8,0.481,14.8,7,20.2,3.6,16.1,9.9,12.44,36.1,1.2
Rondae Hollis-Jefferson,BKN,51,21.8,0.518,18,13.6,17.2,3.9,20.1,12.1,12.43,32.2,1.1
Mindaugas Kuzminskas,NY,47,14.6,0.524,13.1,10,18.5,5,8.9,6.9,12.42,19.7,0.7
Nikola Mirotic,CHI,48,22.5,0.505,8,10.1,18.6,3.4,21.6,12.4,12.36,13.8,0.5
Joe Johnson,UTAH,55,22.5,0.541,16.8,8.4,17.4,2.2,13.1,7.8,12.32,33.6,1.1
Justin Holiday,NY,56,19.7,0.549,13,9.8,16.2,1.9,13.7,7.8,12.29,29.5,1
Bismack Biyombo,ORL,56,23.4,0.54,12.8,15.7,12.5,9.1,25.7,17.2,12.29,33.1,1.1
Leandro Barbosa,PHX,52,13.2,0.506,16.1,7,18.9,1.7,10.7,6,12.26,18,0.6
Wayne Ellington,MIA,36,26.5,0.547,11.3,4.2,17,1.1,7.3,4.2,12.21,24.3,0.8
Timofey Mozgov,LAL,52,20.7,0.547,9,15,16,9.9,16.2,12.9,12.2,25.7,0.9
Evan Turner,POR,50,26.2,0.504,23.1,10.9,18.7,2.2,14,8,12.19,33,1.1
Vince Carter,MEM,49,24,0.532,17.9,5.5,15.1,2.4,13.2,7.6,12.16,29.2,1
Ramon Sessions,CHA,50,16.2,0.495,26.3,9.4,19.9,1.5,8.2,4.8,12.14,13.8,0.5
D.J. Augustin,ORL,56,20.7,0.537,25.1,9.5,19.5,0.8,7.3,4,12.13,19.5,0.6
Devin Harris,DAL,38,16.7,0.528,20.9,8.7,17.8,1.6,13.2,7.1,12.12,10.6,0.4
Kay Felder,CLE,34,10,0.484,21.3,10,22.2,1,10.1,5.7,12.02,5.2,0.2
Gerald Henderson,PHI,50,24,0.556,15,7.8,16.7,1.8,9.9,5.9,11.96,26.1,0.9
Marcus Smart,BOS,52,31,0.488,26.8,11.8,18.3,3.5,10.5,7,11.92,22.1,0.7
